,0,1,MeanRecoveryTerm,AltMeanRecoveryTerm,Cluster
A,6.75,20.0,18.625,7.2,-1
AAP,11.479166666666666,21.0,13.708333333333334,7.5,0
ABBV,11.458333333333334,23.3,13.625,4.4,1
ABC,10.458333333333334,21.1,16.041666666666668,5.1,0
ABT,10.875,16.1,14.5,8.7,-1
ACN,11.3125,19.9,14.791666666666666,8.3,0
ADM,10.0,20.8,16.833333333333332,4.7,0
AEE,10.0,13.7,13.791666666666666,14.4,-1
AES,9.208333333333334,17.7,18.5,9.5,-1
AFL,12.0,19.6,14.541666666666666,7.1,-1
AIG,10.541666666666666,17.3,13.666666666666666,10.5,-1
AIZ,8.104166666666666,22.3,18.166666666666668,7.1,-1
AJG,9.625,22.1,16.166666666666668,6.4,-1
ALB,12.833333333333334,16.9,13.375,9.7,-1
ALK,13.75,23.8,12.75,5.7,-1
ALL,11.833333333333334,21.6,13.833333333333334,4.8,0
ALLE,12.291666666666666,23.4,13.791666666666666,4.8,-1
AMCR,8.541666666666666,19.5,13.625,6.8,-1
AME,12.583333333333334,24.8,14.666666666666666,4.0,-1
AMP,9.5625,23.0,14.291666666666666,5.1,-1
AMT,7.958333333333333,17.2,17.625,10.3,-1
ANET,9.666666666666666,22.9,15.125,5.1,-1
AON,9.583333333333334,22.1,15.375,5.0,-1
AOS,16.166666666666668,19.9,11.75,6.9,-1
APD,10.166666666666666,22.2,14.541666666666666,6.5,-1
APH,11.791666666666666,16.7,13.75,9.7,-1
APTV,10.291666666666666,21.5,15.333333333333334,5.6,0
ARE,8.541666666666666,16.0,18.333333333333332,10.0,-1
ATO,7.25,20.6,17.625,7.1,-1
AVB,6.25,17.4,18.5,10.3,-1
AVY,8.041666666666666,24.4,17.125,4.4,-1
AWK,9.625,18.9,15.208333333333334,8.1,-1
AXP,10.375,23.6,14.208333333333334,3.7,1
AZO,14.333333333333334,18.8,12.375,8.5,-1
BA,10.875,19.6,16.833333333333332,8.2,0
BAC,13.0,19.9,13.083333333333334,7.1,-1
BALL,11.875,23.0,14.291666666666666,4.8,1
BAX,12.583333333333334,18.2,15.833333333333334,10.1,-1
BBWI,14.458333333333334,19.0,11.416666666666666,7.6,-1
BBY,10.75,21.0,14.916666666666666,6.6,0
BDX,11.125,23.2,14.833333333333334,5.0,1
BEN,8.916666666666666,24.5,16.25,4.6,-1
BF.B,9.3125,23.2,14.541666666666666,4.7,-1
BIO,12.208333333333334,17.5,15.458333333333334,7.5,-1
BK,13.375,23.4,12.166666666666666,5.6,-1
BLK,8.583333333333334,16.3,16.291666666666668,10.8,-1
BMY,12.583333333333334,19.9,10.458333333333334,7.2,-1
BR,7.791666666666667,21.4,16.541666666666668,6.2,-1
BRK-B,14.291666666666666,17.5,12.5,9.4,-1
BRO,10.875,18.6,15.125,10.4,-1
BSX,11.0,23.1,14.958333333333334,4.9,1
BWA,14.791666666666666,19.0,11.375,8.3,-1
BXP,9.541666666666666,16.0,15.5,13.1,-1
C,14.083333333333334,17.8,11.791666666666666,8.3,-1
CAG,14.458333333333334,14.5,11.791666666666666,9.5,-1
CAH,10.041666666666666,20.7,15.5,7.4,0
CARR,9.5,23.2,14.625,4.7,1
CAT,13.666666666666666,16.5,14.416666666666666,11.7,-1
CB,13.083333333333334,19.4,11.625,9.6,-1
CBRE,10.479166666666666,19.7,15.5,6.5,0
CCI,11.208333333333334,15.5,14.25,8.6,-1
CCL,14.208333333333334,24.1,13.208333333333334,3.1,-1
CDAY,9.875,23.5,14.0,4.3,1
CE,10.479166666666666,24.7,15.458333333333334,3.7,-1
CF,9.5625,23.6,14.333333333333334,4.6,1
CFG,13.25,23.0,11.791666666666666,5.0,-1
CHD,9.916666666666666,20.8,15.916666666666666,6.0,0
CI,6.958333333333333,17.7,17.916666666666668,10.0,-1
CL,13.708333333333334,20.0,11.958333333333334,7.1,-1
CLX,8.583333333333334,17.5,13.833333333333334,9.7,-1
CMA,11.875,22.0,12.333333333333334,6.1,0
CMG,11.916666666666666,22.7,13.166666666666666,4.5,-1
CMI,11.5,20.4,14.458333333333334,7.2,0
CMS,7.083333333333333,15.5,16.083333333333332,9.6,-1
CNC,10.145833333333334,18.4,17.083333333333332,7.0,-1
CNP,10.0,17.7,17.166666666666668,8.8,-1
