,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
2022-09-20,198.74000549316406,196.24000549316406,189.86000061035156,184.1999969482422,180.49000549316406,174.35000610351562,179.72999572753906,181.08999633789062,176.1699981689453,182.3000030517578,188.42999267578125,187.0500030517578,182.24000549316406,179.58999633789062,175.69000244140625,171.17999267578125,169.25999450683594,170.4600067138672,167.25999450683594,171.72000122070312,172.0500030517578,167.47999572753906,164.0,170.47000122070312,,,,,,,
2022-07-26,217.6300048828125,221.32000732421875,219.7899932861328,220.08999633789062,222.50999450683594,223.02000427246094,225.7899932861328,223.00999450683594,226.6300048828125,227.3800048828125,225.1199951171875,224.49000549316406,226.75999450683594,227.66000366210938,227.52999877929688,231.82000732421875,232.0,236.30999755859375,235.0800018310547,229.22999572753906,228.27000427246094,229.41000366210938,232.94000244140625,221.3800048828125,218.3000030517578,215.41000366210938,212.52999877929688,211.61000061035156,209.1199951171875,209.0399932861328,212.3699951171875
2022-06-14,227.0399932861328,229.52000427246094,212.05999755859375,212.50999450683594,216.17999267578125,212.27999877929688,210.0399932861328,217.5,218.75,211.39999389648438,209.50999450683594,210.11000061035156,213.88999938964844,213.67999267578125,214.9600067138672,217.63999938964844,218.4499969482422,214.80999755859375,211.3699951171875,207.9199981689453,205.4199981689453,209.6699981689453,212.38999938964844,219.14999389648438,220.6300048828125,220.91000366210938,218.7899932861328,220.1300048828125,217.6300048828125,221.32000732421875,219.7899932861328
2022-05-03,248.83999633789062,254.10000610351562,243.67999267578125,224.25999450683594,216.61000061035156,223.60000610351562,227.19000244140625,225.02000427246094,233.58999633789062,226.9600067138672,229.27000427246094,221.52000427246094,225.8000030517578,231.0800018310547,238.75999450683594,232.52000427246094,233.30999755859375,240.3699951171875,249.47999572753906,248.80999755859375,242.72000122070312,245.25999450683594,243.6699981689453,247.4499969482422,248.35000610351562,247.3000030517578,241.42999267578125,237.17999267578125,223.9600067138672,227.0399932861328,229.52000427246094
2022-03-15,229.41000366210938,236.52999877929688,236.82000732421875,239.2100067138672,241.24000549316406,243.55999755859375,240.24000549316406,243.69000244140625,246.02999877929688,243.02000427246094,249.47000122070312,250.22000122070312,249.05999755859375,249.60000610351562,253.83999633789062,256.5,253.63999938964844,249.66000366210938,250.5,250.1699981689453,250.74000549316406,257.0899963378906,258.6700134277344,255.6999969482422,261.1099853515625,261.69000244140625,258.69000244140625,252.24000549316406,251.8800048828125,246.50999450683594,251.6999969482422
2018-12-18,179.0800018310547,179.9600067138672,178.1300048828125,176.39999389648438,175.5,182.8000030517578,185.10000610351562,183.49000549316406,185.72000122070312,185.5500030517578,181.60000610351562,184.94000244140625,186.02999877929688,187.4499969482422,189.57000732421875,190.05999755859375,189.0,188.74000549316406,191.0500030517578,191.30999755859375,192.61000061035156,198.32000732421875,195.94000244140625,197.0,196.5800018310547,199.77000427246094,198.5,197.57000732421875,202.61000061035156,201.80999755859375,202.99000549316406
2018-09-25,225.69000244140625,225.1300048828125,227.4199981689453,227.83999633789062,226.0399932861328,224.63999938964844,226.10000610351562,220.97000122070312,218.4499969482422,216.80999755859375,215.16000366210938,205.27999877929688,200.60000610351562,208.25999450683594,208.55999755859375,213.88999938964844,212.88999938964844,206.72999572753906,204.08999633789062,203.5500030517578,201.33999633789062,192.1699981689453,195.0,188.39999389648438,183.22999572753906,185.25,200.02999877929688,199.83999633789062,197.33999633789062,197.47999572753906,197.60000610351562
2018-06-12,204.97999572753906,207.66000366210938,205.52999877929688,207.08999633789062,220.44000244140625,220.0800018310547,221.72000122070312,218.82000732421875,216.30999755859375,210.97999572753906,210.64999389648438,208.41000366210938,210.9199981689453,210.64999389648438,212.55999755859375,214.1999969482422,214.1699981689453,216.7899932861328,218.5399932861328,219.42999267578125,219.22999572753906,220.5,220.22999572753906,216.17999267578125,216.22000122070312,217.88999938964844,218.0,219.08999633789062,219.2899932861328,221.50999450683594,225.5500030517578
2018-03-20,208.2899932861328,208.63999938964844,202.83999633789062,198.22999572753906,202.19000244140625,198.61000061035156,196.6300048828125,202.5,198.16000366210938,199.1300048828125,199.2100067138672,200.2100067138672,196.33999633789062,196.49000549316406,200.19000244140625,200.07000732421875,200.67999267578125,200.97999572753906,202.8300018310547,209.0500030517578,210.88999938964844,209.69000244140625,208.9499969482422,206.38999938964844,205.75999450683594,201.2899932861328,206.05999755859375,207.72999572753906,207.27999877929688,210.35000610351562,210.47000122070312
2017-12-12,189.2899932861328,189.72999572753906,188.5,190.11000061035156,190.67999267578125,188.86000061035156,190.1699981689453,191.17999267578125,190.4600067138672,191.33999633789062,191.42999267578125,193.3800048828125,192.42999267578125,193.8699951171875,194.9600067138672,195.4600067138672,197.0,197.16000366210938,196.91000366210938,200.91000366210938,202.5800018310547,203.27000427246094,201.8000030517578,203.39999389648438,203.25,206.64999389648438,206.77000427246094,208.85000610351562,207.8300018310547,212.1199951171875,212.02999877929688
2017-06-13,147.24000549316406,146.55999755859375,144.50999450683594,144.41000366210938,143.5399932861328,140.8300018310547,139.97999572753906,141.00999450683594,144.0800018310547,143.47999572753906,143.1300048828125,147.27999877929688,146.0,144.2100067138672,145.3699951171875,145.3800048828125,144.16000366210938,145.10000610351562,144.77999877929688,146.0399932861328,146.4600067138672,149.5,149.02999877929688,147.67999267578125,149.13999938964844,149.5800018310547,149.0,148.25,148.36000061035156,150.5,153.75
2017-03-14,159.19000244140625,161.82000732421875,163.99000549316406,162.22999572753906,159.97000122070312,156.47000122070312,158.60000610351562,158.36000061035156,156.89999389648438,156.33999633789062,157.5,152.5,148.10000610351562,151.42999267578125,150.14999389648438,141.60000610351562,142.0500030517578,145.47000122070312,146.27000427246094,146.32000732421875,145.55999755859375,144.22000122070312,142.36000061035156,144.33999633789062,143.64999389648438,143.17999267578125,149.72999572753906,147.66000366210938,150.22999572753906,148.86000061035156,151.3800048828125
2016-12-13,150.50999450683594,151.0,149.4499969482422,148.0399932861328,142.9600067138672,143.74000549316406,141.92999267578125,142.39999389648438,143.44000244140625,143.92999267578125,141.86000061035156,142.1300048828125,141.52000427246094,144.64999389648438,147.0500030517578,147.47000122070312,148.39999389648438,147.86000061035156,147.97000122070312,148.5,148.99000549316406,150.69000244140625,149.77000427246094,152.3800048828125,150.25999450683594,150.25,149.80999755859375,150.72000122070312,150.74000549316406,148.0500030517578,148.17999267578125
2015-12-15,141.49000549316406,144.25,142.7899932861328,140.32000732421875,141.3800048828125,142.13999938964844,145.41000366210938,145.33999633789062,143.85000610351562,145.38999938964844,143.1199951171875,142.92999267578125,140.6300048828125,136.75999450683594,132.66000366210938,128.5,129.25999450683594,125.55999755859375,124.29000091552734,117.66000366210938,120.0199966430664,118.16000366210938,114.8499984741211,114.9000015258789,116.75,123.66000366210938,119.01000213623047,120.13999938964844,118.0199966430664,117.5,122.83999633789062
2006-06-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006-05-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006-03-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006-01-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005-12-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005-10-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005-08-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005-09-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005-08-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
