,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
2022-09-20,232.80999755859375,232.5800018310547,235.5,230.27000427246094,226.86000061035156,224.89999389648438,225.35000610351562,223.3300018310547,221.5,227.0800018310547,232.19000244140625,233.00999450683594,231.82000732421875,232.8800048828125,235.05999755859375,234.6999969482422,226.6999969482422,230.66000366210938,223.1699981689453,228.00999450683594,238.57000732421875,243.13999938964844,243.00999450683594,249.88999938964844,,,,,,,
2022-07-26,209.50193786621094,209.33277893066406,211.432373046875,215.7708740234375,216.5669403076172,216.3977813720703,217.6117706298828,227.68186950683594,226.4579315185547,221.9900665283203,224.37823486328125,225.90069580078125,226.2191162109375,229.32374572753906,231.4133758544922,232.38853454589844,235.0055694580078,235.61256408691406,234.3289337158203,233.83140563964844,234.97572326660156,238.14999389648438,241.5800018310547,236.1999969482422,235.72999572753906,231.57000732421875,230.25999450683594,227.47999572753906,226.8000030517578,229.0800018310547,232.64999389648438
2022-06-14,203.80020141601562,204.6559600830078,200.0686798095703,199.6507568359375,208.3277587890625,208.4173126220703,208.96461486816406,214.2782745361328,217.2933349609375,216.1092071533203,214.8255615234375,216.74606323242188,219.87057495117188,208.82530212402344,213.1936492919922,216.2385711669922,214.61659240722656,214.765869140625,211.14381408691406,207.21328735351562,203.14344787597656,203.62109375,200.8348846435547,206.0988006591797,207.87002563476562,207.72076416015625,207.70086669921875,209.541748046875,209.50193786621094,209.33277893066406,211.432373046875
2022-05-03,212.4777374267578,219.77931213378906,217.40481567382812,213.951904296875,207.74851989746094,207.42202758789062,203.8404998779297,201.6045379638672,201.61441040039062,202.60379028320312,206.749267578125,200.6844024658203,198.59681701660156,195.65838623046875,198.4682159423828,201.91123962402344,203.92955017089844,210.45721435546875,213.34291076660156,209.42234802246094,209.42234802246094,210.7557373046875,211.7906036376953,211.4622344970703,215.0743408203125,213.1936492919922,212.94488525390625,210.94480895996094,206.30776977539062,203.80020141601562,204.6559600830078
2022-03-15,200.3480224609375,192.29452514648438,195.23297119140625,191.63165283203125,198.53746032714844,198.90353393554688,200.8822784423828,201.42642211914062,203.78114318847656,198.2208709716797,200.11056518554688,201.15931701660156,197.32054138183594,200.47665405273438,199.72471618652344,198.98268127441406,199.96217346191406,205.71041870117188,203.71188354492188,203.05889892578125,207.7386474609375,210.67706298828125,220.30368041992188,220.51144409179688,221.72837829589844,224.87457275390625,219.62100219726562,219.80897521972656,216.20767211914062,216.33628845214844,217.51365661621094
2018-12-18,181.98333740234375,174.28257751464844,171.0231475830078,165.79698181152344,163.4608917236328,169.675048828125,173.19302368164062,173.74705505371094,175.72305297851562,177.80056762695312,174.3656768798828,180.53367614746094,180.96768188476562,179.7488250732422,177.5604705810547,177.77284240722656,179.61032104492188,181.0045623779297,182.35267639160156,180.57984924316406,182.01104736328125,184.93804931640625,181.43853759765625,181.54013061523438,183.7931365966797,186.59085083007812,188.89923095703125,190.6259002685547,192.7865447998047,190.6259002685547,190.55203247070312
2018-09-25,235.25311279296875,234.72894287109375,235.41867065429688,235.5014190673828,236.69696044921875,235.4830322265625,237.99368286132812,237.75454711914062,240.2835693359375,240.15480041503906,238.0028533935547,227.9879608154297,214.3497314453125,208.068603515625,215.20498657226562,216.38209533691406,214.38650512695312,214.46926879882812,215.58204650878906,217.21897888183594,214.12896728515625,203.96697998046875,201.43797302246094,199.43313598632812,191.8277130126953,196.95010375976562,200.92295837402344,205.98097229003906,202.77142333984375,208.0869598388672,209.6779327392578
2018-06-12,203.37205505371094,202.33587646484375,201.684814453125,202.20751953125,203.33535766601562,196.71495056152344,196.1464385986328,194.1107940673828,195.2753143310547,196.24728393554688,196.31146240234375,195.000244140625,197.87945556640625,198.78726196289062,199.2916259765625,198.77809143066406,199.4932861328125,199.5666961669922,204.3806915283203,204.94007873535156,203.46372985839844,204.3715362548828,206.29714965820312,208.10353088378906,208.6995849609375,209.65321350097656,208.50701904296875,208.45199584960938,207.9476318359375,208.13107299804688,208.4703369140625
2018-03-20,234.4567108154297,233.6798095703125,227.72059631347656,232.13516235351562,239.68467712402344,232.86636352539062,231.40396118164062,235.59010314941406,231.61419677734375,236.8422088623047,237.5551300048828,238.542236328125,234.26478576660156,235.02342224121094,232.88465881347656,232.62872314453125,235.0873260498047,234.59381103515625,236.44923400878906,238.542236328125,241.1105499267578,242.74664306640625,240.89120483398438,242.17991638183594,233.78036499023438,230.78245544433594,229.8684539794922,224.6312713623047,222.29150390625,214.53170776367188,211.82630920410156
2017-12-12,212.88583374023438,214.29876708984375,213.19581604003906,217.70802307128906,217.4983673095703,216.95138549804688,216.96963500976562,214.5631103515625,216.44093322753906,215.85752868652344,216.5776824951172,218.27316284179688,214.85484313964844,207.84494018554688,209.1029052734375,212.08367919921875,213.07728576660156,215.16476440429688,218.0452880859375,216.3406524658203,218.1090850830078,225.5474090576172,214.3534698486328,216.2586212158203,215.93043518066406,220.70706176757812,217.7536163330078,214.2532196044922,217.0790252685547,219.91397094726562,225.8482208251953
