id,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,RecoveryDate,RecoveryFDate,RecoveryMagnitude,RecoveryTerm
2022-07-26,218.4582977294922,239.3951873779297,246.13519287109372,254.1495513916016,251.45155334472656,247.1606292724609,249.9582061767578,252.8354034423828,251.12301635742188,249.4504547119141,244.07437133789065,252.4869537353516,251.8000030517578,257.760009765625,258.82000732421875,259.44000244140625,255.91000366210935,256.3999938964844,251.6100006103516,243.8999938964844,243.4199981689453,243.13999938964844,246.8600006103516,236.8800048828125,237.9199981689453,236.6300048828125,236.94000244140625,241.7700042724609,238.00999450683597,238.25999450683597,243.0,0,15,18.75950931498148,15
2022-06-14,199.5324859619141,204.7492828369141,197.13314819335935,190.24380493164065,192.5336151123047,194.79356384277344,196.30682373046875,200.16964721679688,200.4085998535156,196.76480102539065,196.296875,198.42739868164065,197.8300628662109,198.73602294921875,199.68182373046875,202.03135681152344,199.2437744140625,199.95062255859372,197.59112548828125,197.07342529296875,198.79576110839844,205.4362335205078,203.7935333251953,215.44171142578125,214.90411376953125,219.5235595703125,220.6186981201172,218.9859619140625,218.4582977294922,239.3951873779297,246.13519287109372,3,30,29.37882153878085,27
2022-05-03,211.62425231933597,220.14903259277344,212.31732177734372,212.3866271972656,201.2083740234375,203.08956909179688,197.0301513671875,201.81234741210935,202.9174346923828,201.49375915527344,203.3355712890625,194.5347137451172,197.8400115966797,198.6265106201172,201.7625732421875,197.30239868164065,197.94952392578125,203.83335876464844,210.08555603027344,212.25588989257807,216.04901123046875,219.18507385253903,217.30345153808597,213.90853881835935,216.3277740478516,213.91848754882807,212.3554534912109,207.81564331054688,200.68734741210935,199.5324859619141,204.7492828369141,11,21,12.671445436581147,10
2022-03-15,258.4362487792969,265.8223876953125,268.31744384765625,273.099609375,270.20855712890625,271.436279296875,267.76300048828125,272.27783203125,276.4164733886719,277.4659729003906,282.0699768066406,277.9412536621094,277.258056640625,281.6640319824219,278.3868103027344,276.3372802734375,269.5352783203125,268.366943359375,266.7431945800781,263.4461364746094,260.3075256347656,264.39666748046875,259.06988525390625,258.8818054199219,268.22833251953125,269.8421936035156,269.0699462890625,257.9510803222656,258.7233581542969,249.7134552001953,254.2481231689453,29,30,1.8159485900007095,1
2018-12-18,143.01947021484375,140.75770568847656,137.88169860839844,134.75437927246094,131.95281982421875,138.291259765625,139.41744995117188,138.6077117919922,140.05966186523438,140.42263793945312,135.46177673339844,139.73385620117188,140.89732360839844,142.74021911621094,143.5965118408203,142.6937255859375,145.0578155517578,145.383544921875,145.96063232421875,146.75177001953125,149.16241455078125,153.34152221679688,152.150146484375,150.6050567626953,151.470703125,154.8400115966797,151.94534301757812,161.6065673828125,159.9684600830078,157.7811737060547,157.2320556640625,4,27,22.47299269397733,23
2018-09-25,177.3748779296875,176.1992950439453,175.39390563964844,173.5887908935547,174.0423583984375,175.46798706054688,175.78268432617188,175.48646545410156,171.8947296142578,171.33929443359375,169.75633239746094,162.952392578125,157.92576599121094,159.95309448242188,156.46319580078125,159.6568603515625,158.77748107910156,153.8989715576172,151.53843688964844,151.09410095214844,148.64096069335938,142.64234924316406,145.78976440429688,149.3352508544922,146.92840576171875,151.59397888183594,152.49191284179688,160.48077392578125,159.6568603515625,160.17526245117188,163.91513061523438,21,30,14.913370036977136,9
2018-06-12,165.9493865966797,164.6785888671875,164.7799072265625,163.60118103027344,161.58447265625,156.7867431640625,157.3024444580078,154.83447265625,154.6871795654297,152.4218292236328,151.70358276367188,152.1455841064453,151.61146545410156,153.07566833496094,154.4201202392578,153.89524841308594,156.1973876953125,155.8474578857422,157.37608337402344,157.8365020751953,154.01495361328125,155.46994018554688,157.53265380859375,154.36489868164062,155.90269470214844,156.9248809814453,158.4535369873047,157.7444610595703,154.64112854003906,156.98013305664062,168.9422149658203,12,30,11.431028293150701,18
2018-03-20,166.9697723388672,166.16358947753906,161.19830322265625,156.66357421875,162.19688415527344,158.67901611328125,160.04400634765625,159.5859375,154.79470825195312,158.27590942382812,158.79811096191406,160.2546844482422,154.78555297851562,155.0878448486328,157.607177734375,157.4422607421875,159.375244140625,158.37669372558594,159.01797485351562,159.8974151611328,162.260986328125,159.86077880859375,158.33087158203125,155.01455688476562,148.41856384277344,153.2648162841797,151.42340087890625,152.3395538330078,150.72720336914062,153.2098388671875,153.34725952148438,24,30,3.320808092397478,6
2017-12-12,173.9696502685547,174.61721801757812,172.78404235839844,174.1338348388672,175.86668395996094,176.78782653808594,176.0855712890625,177.0614471435547,177.45361328125,177.41709899902344,178.74868774414062,180.1532287597656,179.07701110839844,180.2717742919922,182.90756225585935,182.0958404541016,182.3785552978516,184.23910522460935,184.9139709472656,184.3485412597656,188.0057830810547,189.6291961669922,186.9843292236328,188.3888397216797,187.01165771484372,185.6071319580078,185.9901580810547,186.68331909179688,182.8346099853516,182.14144897460935,185.1511383056641,2,21,9.749253217292242,19
2017-06-13,145.52908325195312,144.48963928222656,146.06236267089844,148.31292724609375,148.2858428955078,146.55946350097656,144.7246856689453,145.0952606201172,146.59561157226562,145.845458984375,144.04676818847656,145.0952606201172,143.54966735839844,146.3877716064453,147.18316650390625,147.77064514160156,147.13795471191406,148.62030029296875,148.85528564453125,148.376220703125,149.79527282714844,149.75010681152344,151.25047302246094,150.31048583984375,149.57835388183594,151.25047302246094,150.78952026367188,149.20777893066406,148.19544982910156,147.41815185546875,147.12893676757812,12,22,5.364558348182031,10
